,Ticker_ID,Comment_Frequency,Upvotes
2,THE,1448,62510
38,HOLD,718,37730
24,N'T,69,22101
46,CNBC,371,17969
70,BUY,497,16150
61,SELL,160,16131
29,WSB,497,14953
58,LET,108,12449
7,THIS,259,11329
12,LETS,402,10017
59,BOYS,108,9093
382,ICLN,544,8605
57,FUCK,289,8566
90,DONT,118,7916
52,MOON,286,7131
11,FOMO,256,6764
3,HERE,80,5623
121,THEY,77,5588
65,JUST,137,5243
261,LINE,68,4568
0,EOW,221,4430
39,DAY,76,4228
47,KEEP,73,3320
20,HOLY,118,3205
28,RIP,188,3050
14,ITS,104,2947
44,WHAT,103,2731
130,WHEN,41,2545
127,JPOW,165,2443
41,WIN,16,2421
97,DOWN,90,2339
40,OFF,64,2293
23,APES,68,2240
45,GUYS,53,2110
37,YOLO,94,1833
73,MAKE,55,1825
142,TOO,20,1782
42,LOL,97,1532
252,OUR,39,1473
193,FROM,40,1401
1,WTF,101,1376
207,ONLY,50,1360
75,OVER,39,1352
43,WANT,45,1344
132,EVEN,19,1276
19,RISE,67,1247
234,GIVE,27,1176
276,THEM,13,1172
214,WORK,12,1081
98,MEME,31,1033
13,WITH,53,1029
326,ARK,65,1026
126,SOLD,19,966
63,ARKK,77,965
77,GOT,40,946
18,GUH,61,937
62,GOOO,37,929
124,ASS,28,909
320,NYSE,20,873
364,BUT,31,846
51,GON,45,830
223,ASAP,6,807
170,FLY,37,802
116,TRCH,4,788
122,GOD,33,788
217,FULL,10,737
134,HOW,26,737
21,ETF,37,726
108,INTO,27,724
527,ARKG,35,697
129,SAID,38,694
33,LOOK,32,692
91,NEWS,29,685
79,BULL,38,685
125,HAND,10,673
25,WAY,33,652
760,230M,1,630
212,READ,5,619
238,LEFT,9,614
262,BOIS,15,610
112,HARD,31,573
445,PTSD,4,555
295,YET,8,551
167,LAST,26,545
71,IRA,11,543
487,CCIV,45,539
141,BRUH,4,525
397,MODS,17,522
27,AMA,31,499
120,GOO,21,496
787,7AM,1,459
783,🚀🚀WE,1,458
168,🅱️🅱️,22,454
64,PUTS,28,452
17,ROPE,37,445
768,BITC,1,443
509,DEEP,8,426
10,0DTE,40,417
54,SOON,15,402
155,USD,12,396
31,QQQ,40,395
243,END,16,385
725,15M,1,372
94,DAMN,23,372
220,CPI,16,357
209,WONT,16,353
529,DUMP,7,346
263,MADE,14,334
192,RICH,13,324
282,USED,3,323
113,HIGH,18,318
5,COCK,22,316
222,LONG,17,312
271,FEEL,12,310
158,HIS,10,310
596,COMI,1,304
88,GETS,10,302
210,HODL,13,301
53,CMON,16,296
421,DAYS,9,294
154,HITS,8,293
325,APPL,20,292
211,TITS,12,290
624,DING,18,288
118,DICK,17,281
275,MUST,10,281
743,SEL,3,272
478,HEY,12,259
289,SAW,3,259
109,UWM,18,249
329,MAY,11,248
119,TOP,12,245
197,MISS,11,243
542,PUT,9,239
221,HAD,4,236
322,HELD,7,230
357,MMED,18,229
554,10Y,13,229
345,U.S.,14,224
761,YEST,1,220
182,GAY,12,213
237,UMWC,13,212
428,SAYS,9,205
152,PICK,9,205
437,CFA,3,204
469,BAD,6,201
251,SAKE,6,199
558,NAME,4,196
785,14M,1,194
151,HOME,7,191
595,COV,3,188
306,CAME,6,188
106,LIFT,15,187
613,ARKF,14,186
235,STO,5,181
417,SUB,4,180
327,LADS,4,177
136,FYI,10,172
216,WEVE,4,171
354,VXX,16,171
416,GUY,4,170
268,BELL,8,167
50,15K,5,167
104,ILL,11,166
172,LOST,9,166
56,HULK,13,163
232,MARS,9,163
744,DATA,3,163
34,GONE,8,162
99,AWAY,7,159
360,WAR,4,158
284,FUEL,6,158
371,BRR,5,158
564,DUDE,4,158
247,DATE,4,158
4,SHOW,10,157
219,DEAD,10,154
269,100K,9,154
534,WSFT,3,153
148,MOM,12,152
198,NOON,4,149
135,ISNT,4,147
195,BOUT,6,145
346,FML,11,145
200,OWN,9,143
202,EST,11,140
358,JOIN,5,139
672,AOC,8,137
26,POS,13,137
729,FOOL,4,134
308,TAN,10,126
780,NOK🚀,9,126
649,WON,3,124
36,BOY,7,124
538,BYE,6,121
111,PAPA,5,121
319,SHE,7,121
741,SPA,2,120
279,ONCE,6,119
107,GAP,6,117
350,20K,7,117
333,DIA,5,116
80,FKN,6,115
755,YAY,1,115
500,OHHH,2,115
86,WYA,4,114
117,BAG,5,113
143,LOAD,6,112
513,QNX,5,111
102,SPAC,6,111
340,50K,5,111
483,TSL,10,110
128,TIM,10,109
178,SHUT,5,108
656,RIGH,2,107
194,BERS,9,107
822,'LL,2,106
165,P/E,11,105
92,STAR,5,104
123,KNEW,5,103
81,WIS,5,102
22,BLOW,5,102
740,ABOU,3,100
581,5AM,1,99
544,DONE,5,98
246,POOR,6,98
189,FUD,7,98
514,NSFW,3,97
425,TFW,7,97
735,FAR,4,96
146,DUTY,6,95
49,CLO,8,93
253,EASY,5,92
745,ATTA,2,92
652,PTLR,7,91
159,FBI,5,90
605,T212,3,90
612,🚨GME,3,89
545,BOSS,2,89
523,BOTH,5,88
762,TOM,2,88
375,MINS,4,86
72,FAA,7,84
769,EURO,1,84
405,LIST,3,82
582,SIGN,4,81
365,SICK,2,80
776,HRS,2,79
531,KARP,7,79
733,VOTE,1,79
30,EPS,7,78
312,UVXY,9,78
373,CDC,8,78
208,500M,3,77
493,VAX,1,77
784,ICON,1,76
203,LESS,4,76
816,VALH,1,76
655,/DFV,1,75
766,FEET,2,74
332,AYE,2,73
