,Ticker_ID,Comment_Frequency,Upvotes
25,GME,5393,207340
19,AMC,5018,160685
45,PLTR,4234,67624
6,WISH,1697,33375
101,NOK,679,33310
29,SNDL,1091,32821
78,CLOV,1380,25576
0,CLNE,1261,24553
72,YOU,495,23354
22,TSLA,1648,22148
333,MVIS,1095,21341
5,TLRY,1135,19070
112,AND,398,18674
13,NOT,295,16343
60,SPY,1263,13737
18,UWMC,896,13697
568,APHA,757,13554
9,THAT,107,13321
67,AAPL,770,9997
28,RKT,774,9916
21,EOD,483,9826
27,WKHS,610,9612
129,ARE,212,7822
52,STOP,169,7117
87,FOR,202,6768
66,CLF,428,6496
155,WILL,110,6483
3,NIO,493,6420
89,GANG,155,6203
50,ALL,147,6191
81,GET,172,5822
2,AMD,530,5583
110,BABY,125,4990
128,LIKE,98,4494
44,ASO,360,4456
42,OUT,60,4397
11,SPCE,369,4337
159,OCGN,294,4301
122,MNMD,213,4289
80,DIP,155,4279
141,BACK,135,3737
61,YOUR,111,3569
26,SOFI,221,3527
97,TIME,84,3434
118,NOW,154,3404
40,CRSR,254,3285
178,HAVE,85,3180
23,DKNG,242,3040
359,DFV,132,2995
55,LFG,84,2976
30,SENS,209,2929
166,SEC,61,2882
994,HMU,1,2863
124,OPEN,125,2818
46,SHIT,80,2773
135,MORE,72,2614
201,WHO,53,2610
47,COIN,212,2563
14,CAN,78,2524
207,NEED,53,2474
345,ANY,18,2460
299,POP,10,2329
446,RBLX,130,2251
264,HAS,50,1867
311,WALL,26,1812
165,DID,48,1744
16,CEO,108,1682
57,VIAC,163,1652
62,PLUG,137,1565
144,GSAT,125,1523
111,COME,65,1495
210,WHY,51,1451
233,STAY,15,1430
88,WOOF,88,1429
95,ATH,92,1379
85,TAKE,49,1376
7,ONE,42,1341
58,IPO,53,1321
173,OMG,45,1319
32,PSFE,118,1283
108,NEXT,31,1272
41,LOVE,60,1250
640,ZOM,75,1237
1020,🚨WE,1,1130
435,NAKD,39,1126
31,GOEV,91,1124
73,BABA,93,1123
8,NVDA,114,1099
93,KNOW,21,1065
432,CUM,31,1055
205,SAY,16,1044
127,HIT,33,1034
996,HOL,17,1009
91,RIOT,83,994
158,EVER,14,951
126,WERE,22,935
323,BEEN,18,932
15,SEE,32,911
602,MANY,10,907
59,HOUR,55,905
154,THAN,15,902
119,LOT,14,899
130,HYLN,51,874
202,LMAO,52,866
230,EAT,9,810
131,BIG,39,782
348,WEED,29,776
203,SOME,27,763
169,AMZN,62,757
136,GOOD,42,748
355,SALE,23,744
34,NEW,24,716
20,BBBY,40,708
483,WELL,8,705
145,RUN,32,700
120,CALL,33,697
134,PUSH,31,694
10,USA,8,683
258,CANT,32,677
193,FUBO,59,665
115,YALL,15,661
224,MOLY,39,657
1034,ASIA,3,657
221,APE,19,649
785,WENT,8,649
468,WAS,29,644
153,DIPS,18,641
69,BNGO,47,637
480,TDA,10,596
995,HOPE,3,583
368,WEEK,26,545
168,FUK,37,545
217,PUMP,15,539
641,MIND,2,533
376,'RE,14,522
325,SEND,13,514
500,RAIN,2,508
482,NICE,8,495
220,FREE,15,487
181,YES,32,485
109,PLAY,24,481
200,AINT,14,477
331,ORPH,29,471
558,PTON,33,470
1057,RBC,10,470
228,VIX,43,466
245,MAN,21,462
117,LZB,38,456
100,NNDM,27,448
352,QUIT,8,444
83,WOW,22,444
92,ITM,35,440
950,PSTH,36,439
102,RIDE,39,427
539,ELON,29,426
198,HUGE,16,422
150,10K,20,422
722,RMO,44,403
56,MOVE,18,391
